language,tongue twister,translation
German Zungenbrecher,Frischlackiertes Schleiflackkästchen, Freshly laquered burnished painted box.
German Zungenbrecher,Furcht vor Fruchtfleisch führt zu Flucht vor Fruchtfleisch., Fear of fruit flesh leads to flight from fruit flesh.
German Zungenbrecher,"Die Wurs(ch)t im Borschtsch stört Stanislaus. 
Der Stör im Borschtsch ist Stanislaus wurs(ch)t!"," Stanislaus dislikes the sausage in the borscht.
The sturgeon in the borscht doesn't matter to Stanislaus."
German Zungenbrecher,"Pflückfrische Früchte pflückt frisch der Früchtepflücker.
Der Früchtepflücker pflückt pflückfrische Früchte."," Freshly picked fruit the fruit picker picks fresh.
The fruit picker picks freshly picked fruit."
German Zungenbrecher,"Wer anderen eine Bratwurst brät, der hat ein Bratwurstbratgerät."," Who grills a grilled sausage for others, has a grilled sausage grill device."
German Zungenbrecher,"Gips gibt's in der Gipsstrasse, wenn's dort kein Gips gibt, gibt's in der Gipsstrasse kein Gips."," There is gypsum in Gypsum Street, if there is no gyspum, then there is no gyspum in Gypsum Street."
German Zungenbrecher,Der Mensch ist was er ißt, Man is what he eats
German Zungenbrecher,Der Eifersucht is eine Leidenschaft die mit Eifer sucht was Leiden schaft., Jealousy is a passion that searches zealously what causes sorrow.
German Zungenbrecher,"Der dicke Dirk trängt den dünnen Dirk durch den dicken Dreck, da dankte der dicke Dirk den dünnen Dirk, dass der dünne Dirk den dicken Dirk durch den dicken Dreck trung."," Fat Dirk (a name) carries the thin Dirk through the thick dirt, whereupon the fat Dirk thanks the thin Dirk for the thin Dirk having carried the fat Dirk through the thick dirt."
German Zungenbrecher,Kampfkühe kämpfen gegen Kniekrämpfe., Fighting-cows fight against cramps in their knees.
German Zungenbrecher,"In einem kleinen Dorf wohnte einst ein Mädchen mit dem Namen Barbara. 
Barbara war in der ganzen Gegend für Ihren ausgezeichneten Rhabarberkuchen bekannt. 
Weil jeder so gerne Barbaras Rhabarberkuchen aß, nannte man sie Rhabarberbarbara. 
Rhabarberbarbara merkte bald, dass sie mit ihrem Rhabarberkuchen Geld verdienen könnte. 
Daher eröffnete sie eine Bar: Die Rhabarberbarbarabar. 
Natürlich gab es in der Rhabarberbarbarabar bald Stammkunden. 
Die bekanntesten unter Ihnen, drei Barbaren, kamen so oft in die Rhabarberbarbarabar, um von Rhabarberbarbaras Rhabarberkuchen zu essen, dass man sie kurz die Rhabarberbarbarabarbarbaren nannte. 
Die Rhabarberbarbarabarbarbaren hatten wunderschöne, dichte Bärte. 
Wenn die Rhabarberbarbarabarbarbaren ihren Rhabarberbarbarabarbarbarenbart pflegten, gingen sie zum Barbier. 
Der einzige Barbier, der einen Rhabarberbarbarabarbarbarenbart bearbeiten konnte, wollte das natürlich betonen und nannte sich Rhabarberbarbarabarbarbarenbartbarbier. 
Nach dem Stutzen des Rhabarberbarbarabarbarbarenbarts geht der Rhabarberbarbarabarbarbarenbartbarbier meist mit 
den Rhabarberbarbarabarbarbaren in die Rhabarberbarbarabar, um mit den Rhabarberbarbarabarbarbaren von Rhabarberbarbaras herrlichem Rhabarberkuchen zu essen.",
German Zungenbrecher,"Sagt der Hai zum Uhu ""huhu"", sagt der Uhu zum Hai ""hi""."," The shark says ""huhu"" to the eagle owl (Bubo bubo), the eagle owl says ""hi"" to the shark."
German Zungenbrecher,"Ottos Mops trotzt
Otto: fort Mops fort
Ottos Mops hopst fort
Otto: soso"," Otto's pug mocks (his master) |
Otto: Bad dog! Out! |
Otto's pug skips out |
Otto: Good dog ||
Otto holds coke |
Otto holds fruit |
Otto harks |
Otto: Pug! Pug! |
Otto hopes ||

Otto's pug knocks (at the door) |
Otto: Come, pug! Come! |
Otto's pug comes in |
Otto's pug pukes |
Otto: Oh God oh God!"
German Zungenbrecher,"Von Spinnen versponnene Spanier spachteln Speisen mit spitzen
Spaten. Mit spitzen Spaten spachteln von Spinnen versponnene Spanier
Speisen.", By spiders spun Spaniards eat meals with pointed spades. ...
German Zungenbrecher,Zwei Zeisige zwitschern zwischen zwei Zwetschgenzweigen., Two siskins twitter between two plum tree branches.
German Zungenbrecher,"Wenn Nietzsches Mieze frisst, wischt Miezes Nietzsche nichts."," Wenn Nietsche's cat feeds, Mieze's Nietsche doesn't wipe anything."
German Zungenbrecher,Maltes maltesers Malte malte mal auf Malta Maltes maltesers Malte als auf Malta maltesers Malte mal maltesers Malte malte!, Malte's maltese (dog) Malte on Malta once painted Malte's maltese Malte ...
German Zungenbrecher,"Wenn ich in der Leere leere Lehre lehre, lehre leere Lehre ich nur theoretisch.", When I am teaching an empty doctrine in an empty space I am teaching an empty doctrine just theoretically.
German Zungenbrecher,"Wer in Cannes Can-Can kann, kann Can-Can überall."," Who can do the Can-Can in Cannes, can do the Can-Can everywhere."
German Zungenbrecher,Der Bergwerker borgt sich vom Bergwerkswart einen Werksborgward., The mineworker borrows a company-owned Borgward (famous German car) from the guard of the mine.
German Zungenbrecher,"Gib niemals Opi Opium, denn Opium bringt Opi um."," Never give grandpa opium, because opium kills grandpa"
German Zungenbrecher,"Wenn hinter Interlaken Kakerlaken kacken, kacken Kakerlaken hinter Interlaken."," If cockroaches crap behind Interlaken, cockroaches crap behind Interlaken."
German Zungenbrecher,"Derjenige, der denjenigen, der den Pfahl, der auf der Brücke, die auf dem Wege nach Wuppertal liegt, steht, umgeworfen hat, einfängt, erhält eine Belohnung und wird lobend im Gemeindekasten aufgehängt."," The one who captures the one who knocked down the pile which stands on the bridge which lies on the way to Wuppertal will receive a reward, and be commended and posted in the municipal showcase."
German Zungenbrecher,Kai kann keine kleinen klugen Kölner Kellner kirre kriegen., Kai can't drive any small smart Colonian Barkeepers crazy.
German Zungenbrecher,"Die süße Susie aus Sachsen sagt: ""Sechs Sachsen sächseln sechs Stunden Sächsisch."""," Sweet Suzie from Saxony says: ""Six Saxonians are speaking Saxonian for six hours."""
German Zungenbrecher,"Nelly die Nanny narrt Molly die Granny, da Jenny und Lenny die Narren beharren, dass Nelly die Granny narren kann. Doch Molly ruft Polly die Drollige an, worauf Polly die Drollige Jenny und Lenny die Narren narren kann. Jenny und Lenny die Narren rufen Nelly die Nanny zu Hilf, doch Molly der Granny und Polly der Drolligen hilft nun der Benny aus Bonn, der Jenny und Lenny die Narren und Nelly die Nanny nun mitnarren kann."," Nelly the Nanny fools Molly the Granny, because Jenny and Lenny the fools insist that Nelly can fool the Granny. But Molly calls Polly the funny one, and Polly the funny one fools Jenny and Lenny the fools. Jenny and Lenny the fools call Nelly the Nanny for help, but Molly the Granny and Polly the funny one are now helped by Benny from Bonn, who now fools Jenny and Lenny the fools and Nelly the Nanny too."
German Zungenbrecher,Bobs Pop-up-Blocker blockt Bobs Pop-Ups., Bob's pop-up blocker blocks Bob's pop-ups.
German Zungenbrecher,Auf eine Berghütte in Österreich:, Notice in a mountain shelter in Austria: Who upon arrival gives no information on his origin in the future will not receive accomodation.
German Zungenbrecher,Ein schwarzes Sweatshirt und ein schwarzes Täschchen mit sechsundsechzig Würstchen in der Sächsischen Straße., A black sweatshirt and a little black bag with sixtysix sausages in Sächsische Straße (a street in Berlin).
German Zungenbrecher,Der plappernde Kaplan pappt peppige Papp-Plakate an die klappernde Kapell'-Wand., The babbling chaplain glues lively cardboard posters onto the chapell's rattling wall.
German Zungenbrecher,"Wegen der Wecken weckt der Wecker den Bäcker. Er muss sich strecken, regen und recken wegen der Wecken. Rege, strecke, recke dich! Backe, Bäcker, Wecken für mich!"," The morning clock wackes the baker because of the breads. He has to stretch, to move and to elongate because of the breads. Move, stretch, elongate yourself! bake, baker, breads for me!"
German Zungenbrecher,Kontaktlinsenverträglichkeitstest, Test for the tolerance of contact lenses
German Zungenbrecher,Aufnahmeausschusssitzung, meeting of the commission for applications
German Zungenbrecher,Des Weiteren ist das Übrige auszuschließen und im Übrigen sind die Ausschlüße zu erweitern und die Erweiterungen sind ausschießlich zu erübrigen. Erübrigungen werden des Weiteren ausgeschlossen. Ausgeschlossene Erweiterungen sind übrig. Übrige Ausschlüsse werden erweitert. Erweiterte Erübrigungen werden auschgeschlossen. Ausszuschließende Erübrigungen werden erweitert. usw.,
German Zungenbrecher,Bremsprobeberechtigter, someone authorized to check the brakes of a train
German Zungenbrecher,Umsatzsteueridentifikationsnummer, Value-added tax number
German Zungenbrecher,Grunddienstbarkeitsbewilligungserklärung," the right to cross a (private) property
German: das Recht, ein Grundstück zu überqueren"
German Zungenbrecher,Abstandsbaulasterklärung," permit from the neighbor to stay below the minimum prescribed distance when building an attachment (to a house)
German: Einverständnis des Nachbarn, den vorgeschriebenen Mindestabstand für einen Anbau zu unterschreiten"
German Zungenbrecher,Verselbständigkeitsanalyse," examination to test if somebody can live on his or her own German: Prüfung, ob jemand fremde Hilfe benötigt"
German Zungenbrecher,Oachkatzlschwoaf, Squirrel's tail. German: Eichkätzchenschweif (Eichhörnchenschweif)
German Zungenbrecher,I moãn schô aa., That is my opinion too. German: Ich meine schon auch.
German Zungenbrecher,Ka klans Kind kon kan klan Kerschkern klan kliebm., No small child can split a small cherry stone for a small child. German: Kein kleines Kind kann keinem kleinen Kind einen kleinen Kirschkern klein klieben (=spalten).
German Zungenbrecher,Nau dadiad a da!, Then it will wilt away. German: Dann verdorrt er Dir!
German Zungenbrecher,Wixbiaschterl - Gwiazbixerl," Shoe-shine brush, spice box. German: Wichsbürste (Bürste, mit der man Schuhe putzt, also ""wichst"")  -  Gewürzbüchse"
German Zungenbrecher,"Wonn i kemma ko, kimm i, i wia owa koam kemma kinna."," If I can come, I will come, but I will hardly be able to come. German: Wenn ich kommen kann, komme ich, ich werde aber kaum kommen können."
German Zungenbrecher,I ho eh oe joa a oa oi., I have laid one egg every year anyway. German: Ich habe sowieso jedes Jahr ein Ei hinunter gelegt.
German Zungenbrecher,Das di der Teifl!, The devil shall take you! German: Dass dich der Teufel (hole)!
German Zungenbrecher,Gespräch am Feldrand," Conversation on the edge of a field: Man, mow! No priest you mow! Do priests also mow? No man. German: Ein Pfarrer (Pater) trifft am Wegesrand auf einen Knecht mit einer Sense, der sich gerade ausruht. ""Mann, mähe!"" ""Nein, Pater, mähe du!"" ""Mäht denn ein Pater auch?"" ""Nein, Mann."""
German Zungenbrecher,Ödögödöckö!, The cover of an oil pot. German: Der Deckel von einem Öltiegel.
German Zungenbrecher,I ha eam aa a oa owe ghoid., I also brought down an egg for him. German: Ich habe ihm auch ein Ei heruntergeholt.
German Zungenbrecher,"Wann i mit meiner Wampen kannt, gangat i auf d' Kampenwand."," If my (pot) belly would allow it, I would go up the Kampenwnad (a mountain). German: Wenn ich mit meiner Wampe könnte, ging ich auf die Kampenwand."
German Zungenbrecher,Auf ana Wiesn gaunz stad und stüll a grüll. Gaunz stüll und stad - Schedl o'gmaht.," On a meadow, quietly and silently sat a cricket, quietly and silently - head cut off. German: Auf einer Wiese ganz ruhig und still eine Grille. Ganz still und ruhig - Kopf abgemäht."
German Zungenbrecher,"Geh Toni geh dauni, sonst hau i di dauni! Geht da Toni ned dauni, nimm i in Toni und hau eam dauni, daß da Toni dauni fliagt."," Hey Toni, go down, or I will hit you down! If Toni doesn't go down, I will take Toni and hit him down. German: He Toni, geh hinunter! Geht der Toni nicht hinunter, dann pack ich den Toni und hau ihn um."
German Zungenbrecher,Soiche sechse wia mia fünfe gibt's koane viere weil mia drei die zwoa oanzigen san.," Such six as we five are, can't be found among four, because we three are the two only ones. German: Solche sechs wie wir fünf gibt es keine vier weil wir drei die zwei einzigen sind. Bayrische logik :-)"
German Zungenbrecher,Brauchst Untatassalan aa? Oda tans de Schalalan alaan aa?, Do you also need saucers? Or are the (small) cups alone enough? German: Brauchst du auch Untertassen? Oder tun es die Tassen (Schalen) alleine auch?
German Zungenbrecher,Håt epper epper eppes gsågg?, Has anybody actually said anything? German: Hat jemand vielleicht etwas gesagt?
German Zungenbrecher,A Müllamadl hot a Möhnudlladl und a Nahnodlladl a., A miller's girl has a poppy-seed-dumpling drawer and a sewing-needle drawer as well. German: Ein Müllermädchen hat eine Mehlnudellade und eine Nähnadellade auch.
German Zungenbrecher,"Es gibt net so fü Tog im Joar, wia da Fux am Schwaunz hot Hoar."," There aren't so many days in the year as the fox has hair on his tail. German: Es gibt nicht so viele Tage im Jahr, wie der Fuchs am Schwanz hat Haare."
German Zungenbrecher,Auf an Spejkbrejdl liegt a Brejkl Spejk., On the board for smoked ham lies a piece of smoked ham. German: Auf einem Speckbrett liegt ein Stück (Bröckerl) Speck
German Zungenbrecher,Kimmscht e a oui?, You are also comming down? German: Kommst du eh auch hinunter?
German Zungenbrecher,"S'Bsteck, z'spät b'stöht.", The cutlery ordered too late. German:Das Besteck zu spät bestellt
German Zungenbrecher,"Zwisch'n Ümitz und Apetlo: hängen zwa zwidri'gspitzte Zwetschk'n dro:. Wer de zwa zwidri'gspitz'n Zwetschk'n nennen ko:, des is a braver Mo:."," Between Illmitz and Apetlon (2 places in the Burgenland) hang two double-pointed plums. Wo can name the two duoble-pointed plums is a good man. German: Zwischen Illmitz und Apetlon (2 Ortschaften im Burgenland) hängen zwei zweigespitzte Pflaumen. Wer die zwei zweigespitzten Pflaumen nennen kann, der ist ein braver Mann."
German Zungenbrecher,Zwanz'g zquetschte Zwetschk'n und Zwanz'g zquetschte Zwetschk'n san Vieazk zquetschte Zwetschk'n., Twenty squashed plums and twenty squasched plums are forty squashed plums.
German Zungenbrecher,"Da Dauni sogt zum Dauni: ""Dauni, geh dauni!"" Da Dauni geht net dauni drum haut da Dauni in Dauni dauni."," Toni says to Toni: ""Toni go down!"". Toni doesn't go down so Toni hits Toni down. German: Der Toni sagt zum Toni: ""Toni, geh hinunter!"" Der Toni geht nicht hinunter, darum haut der Toni den Toni um."
German Zungenbrecher,Der Pfårrer vu Bschlåbs hat z'Pfingschte 's Speckbsteck z'spat bstellt., The priest of Bschlabs (village in Tyrol) has ordered knife and fork for smoked ham too late on Pentecost. German: Der Pfarrer von Bschlabs (Ort in Tirol) hat zu Pfingsten das Speckbesteck zu spät bestellt.
German Zungenbrecher,Koa kloans Kind ko koan kloan Kind oan kloan Kerschkern kloa kliabn., No small child can split a small cherry stone for a small child. German: Kein kleines Kind kann keinem kleinen Kind einen kleinen Kirschkern klein klieben (=spalten).
German Zungenbrecher,Zehn zottate Zigeina zahn zehn Zentner Zement zam zau zuwie., Ten shaggy gypsies are draging ten hundredweights of cement over to the fence.
German Zungenbrecher,"Wenn i kemm konn, kimm i, obo i moan, i konn kamm kemm."," I can come, I will come, but I hardly think I can come. German: Wenn ich kommen kann, komm ich, aber ich meine, ich kann kaum kommen."
German Zungenbrecher,"Zwo z'quetschte Zwetschgen und zwo Zwetschgen z'quetscht, san vier z'quetschte Zwetschgen.", Two squashed plums and two plums squashed are four squashed plums.
German Zungenbrecher,"A z'spat b'stellt's Speckb'steck isch a Speckb'steck, des z'spat b'stellt isch.", Knife and fork for smoked ham ordered too late are knife and fork for ham that have been ordered too late.
German Zungenbrecher,An ogfizlta Auchkatzlschwoaf in Vitriolöl., A plucked squirrel tail in sulfuric acid.
German Zungenbrecher,Zehn zotterte Zigeuner zarn zehn Zentner Zucker zum Zaun zuwi., Ten shaggy gypsies drag 10  hundredweight of sugar to the fence.
German Zungenbrecher,"'s A is eh o, 's E is a o."," About two Strings of a Guitar: The A-string is already (torn) off, The E-string is also (torn) off. German: Das A ist ohnehin ab, das E ist auch ab."
German Zungenbrecher,"Anton, dra dant um, brots ent a!"," Anton, turn the duck around and fry the other side. German: Anton dreh die Ente um und brat die andere Seite auch."
German Zungenbrecher,"Ick esse Klops
uff eenmal klopt's
ick kicke, staune, wunda mir
uff eenmal jeet se uff, die Tür.
Ick geh' raus und kicke,
wer steht draussen?
Icke."," I'm eating meatballs. Suddenly it knocks. I look, gape and wonder. Suddenly it (the door) opens. And who is standing there? It's me."
German Zungenbrecher,Bou dou dein Rollolodn rorolln loun.," Boy, let down your blinds (shutters). German: Junge las deinen Rolladen herunter rollen."
German Zungenbrecher,A Mamaladaamala hamma daham aa., A tin/pot of jam we have at home too. German: Ein Marmaladeneimerchen haben wir zuhause auch.
German Zungenbrecher,"Franken ist da, wo Hasen ""Hosen"" und Hosen ""Husen"" haßen."," Franconia is where hares are called ""Hosen"" and trousers are called ""Husen""."
German Zungenbrecher,"Schelle se net an seller Schelle, selle Schelle schellet net. Schelle se an seller Schelle, selle schelle, selle schellt!"," Don't ring that bell, that bell doesn't ring. Ring that bell, that bell rings!"
German Zungenbrecher,"Wennsdn sixd, dann saxdersm."," If you see him, tell him.
German: Wenn du ihn siehst, dann sagst du's ihm."
German Zungenbrecher,Lou a moll den rolloo roo., Let down the Shutters. German: Laß einmal das Rollo herunter.
German Zungenbrecher,"Zwei Frauen sprechen über ein Kind:
- Derf des des?
- Des derf des!", Two women taking about a child: Is he/she allowed to do that? He/she is allowed to do that! That he/she is allowed to do that?! German: Zwei Frauen reden über ein Kind: - Darf es das?  - Es darf das! - Das es das darf?!
German Zungenbrecher,"Alle Hesse sind Verbräschä, klauen alle Aschebäschä. Klaun se keine Aschebäschä, sind se schlimme Messäschdäschä!"," All Hessians are criminals, all steal ashtrays. When they don't steal ashtrays, they are bad (dangerous) knife fighters."
German Zungenbrecher,Die Maamauerbaabambeler lasse am Maa ihr Baa an de Mauer bambele.," Maamauerbaabambeler is a club in Seligenstadt in Hessen. It literally means ""the people who sit on the river Main and let their legs dangle down the wall""."
German Zungenbrecher,Kenn gied eren hei henn san noch mi Kenn hen.," Children come in, here inside there are more children. German: Kinder kommt herein hier drinnen sind noch mehr Kinder da."
German Zungenbrecher,"Sitzt e Wermsche uff'm Termsche mit 'em Schermsche unnerm Ermsche. Kimmt e Stermsche, werft des Wermsche mit'm Scherme unnerm Ermsche vom Termsche."," A small worm is sitting on a tower, with a small umbrella in his arm. A small storm comes up, throws the small worm with the small umbrella in his small arm from the small tower."
German Zungenbrecher,"Sitzt e Wörmsche uff'm Törmsche mim Schermsche unnerm Ärmsche, kemmts Störmsche un blässt's Wörmsche mim Schermsche unner'm Ärmsche vom Törmsche."," German: Sitzt ein Würmchen auf dem Türmchen mit einem Schirmchen unter dem Ärmchen, kommt ein Stürmchen und bläst das Würmchen mit dem Schirmchen unter dem Ärmchen vom Türmchen"
German Zungenbrecher,"Giess dei Kakdus, sonst verderrterder!"," Water your cactus, otherwise it will dry up!"
German Zungenbrecher,Isch haach der aans uff dei aan Aach un uff dei anner Aach haach isch der aach aans., I'll give you a blow on one of your eyes and on your other eye I'll also give you a blow.
German Zungenbrecher,Isch die Dudd da doi?, Does this bag belong to you? German:Gehört diese Tüte da dir?
German Zungenbrecher,"Sunn scheint schunn schää! Unn wann Sunn schunn so schää scheint, schaffe mer aa nix mee."," The sun is already shining nicely! And when the sun is shining nicely we don't work anymore. German: Die Sonne scheint schon schön! Und wenn die Sonne schon so schön scheint, arbeiten wir auch nichts mehr."
German Zungenbrecher,'S beschd schlääwsch' 's schännschd Schächdelche unn 's schlänggschd Schibbche 's schnellschd in 's neggschd Schäbbche., The best would be if you carry the most beautiful box and the slimmest shovel into the next barn as soon as you can. German: Am besten schleppst du das schönste Schächtelchen und die schlankeste Schaufel so schnell es geht in den nächsten Schuppen.
German Zungenbrecher,"'s Wermche Ermche schdehd mimm Scherrmche unnerm Ärmche uwwm Dermche. Kommd e Schdermche unn bloosd's Wermche Ermche mimm Schermche unnerm Ärmche vumm Dermche, 's arm Wermche Ermche."," The little worm called Irmchen carrying a little umbrella below its little arm is standing on the top of a little tower. There appears a weak storm that blows away the little worm called Irmchen with the little umbrella below its little arm away from the little tower, that poor little worm called Irmchen. German: Das Würmchen Irmchen steht mit dem Schirmchen unter dem Ärmchen auf dem Türmchen. Da kommt ein Stürmchen und weht das Würmchen Irmchen mit dem Schirmchen unter dem Ärmchen von seinem Türmchen, das arme Würmchen Irmchen."
German Zungenbrecher,Schdolls schdollzierd de schmächdich unn dorschdich Schdorch medd Dorschd dorch de Schdorchehorschd., The slim and thirsty stork struts proudly and thirsty through the stork's nest. German: Stolz stolziert der schmächtige und durstige Storch mit Durst durch den Storchenhorst.
German Zungenbrecher,"Klein Erna fragt die eigene Mutter über ein im Matsch spielendes Kind:
- Daaf das das?
- Das darf das."," Two mothers taking about a child: That it is allowed to do that! It is allowed to do that! German: Zwei Frauen reden über ein Kind: - ""Das es (er/sie) dies darf!"" - ""Es (er/sie) darf das."""
German Zungenbrecher,Wat'n weer weer! De wind waait den sand von'n weg weg dör de döör dör! Wat'n weer weer!, What a weather! The wind is blowing the sand away through the door. What a weather! German:Was für ein Wetter! Der Wind weht den Sand vom Weg weg durch die Tür hindurch! Was für ein Wetter!
German Zungenbrecher,"Wann wie Woschwiewa wusste wou wormet Wota wia, wurde wie Woschwiewa witte Wosch wosche."," If we wash-women knew where to find warm water, we wash-women would wash white laundry. German: Wenn wir Waschweiber wüssten wo warmes Wasser wäre, würden wir Waschweiber weiße Wäsche waschen."
German Zungenbrecher,Oma lo ma nomal La Paloma lope lote.," Grandma, let me play La Paloma again. German: Oma lass mich noch mal La Paloma laufen lassen."
German Zungenbrecher,"Lu mo loa, do leira doch."," Look over there, he is lying there. German: Sieh einmal dorthin, da liegt er doch."
German Zungenbrecher,Birnbohm schreibd ma midd Birmbohm B und Pappelbohm schreibd ma midd Pappelbohm P.," Peartree (Birnbaum) is written with peartree ""B"" and poplar (Pappelbaum) is written with poplar ""P"". German: Birnbaum schreibt man mit Birnbaum ""B"" und Pappelbaum schreibt man mit Pappelbaum ""P""."
German Zungenbrecher,"Gaisers Garle gonnte geene Gimmelgerne gaun, aber Guchengrümel gonnt'er gatschen."," The emperor's Carl could not chew carraway seeds, but cakecrumbs he could chomp. German: Kaisers Karle konnte keine Kümmelkörner kauen, aber Kuchkrümmel konnte er zerdrücken."
German Zungenbrecher,Mol a mol a mole no., Paint a small man. German: Mal (da) einmal ein Männchen hin.
German Zungenbrecher,Bräschdleng-Gsälz, strawberry jam German: Erdbeermarmelade 
German Zungenbrecher,S'Schbeckschbätzlesbschdeck z'schbäd bschdelld., The knife and fork for Spätzle with smoked ham (a typical dish) were order to late.
German Zungenbrecher,"I han amol oine kennt ket, dia hot a Kend ket, des hot se von oim ket, wenn se den it kennt het, het se au des Kend it ket."," I once knew one (woman), that had a child, which she had from someone, if she hadn't know him, she wouldn't have that child. German: Ich habe eine gekannt, die ein Kind hatte, das hatte sie von einem, wenn sie den nicht gekannt hätte, hätte sie auch das Kind nicht."
German Zungenbrecher,Em Hefele em Eckele do leit a gloines Breckele vom Fritzele seim Weckele em Hefele em Eckele. Do kommt a gloines Geckele ond frisst des gloine Breckele vom Fritzele seim Weckele em Hefele em Eckele., A small piece of bread that a little child called Fritzle (typical Swabian boy's name) has lost is lying in the yard. Then a small (in swabian everything is small) rooster comes and eats up the piece of bread.
German Zungenbrecher,I han da Apparat ra tra., I carried the machine down. German: Ich habe den Apparat hinunter getragen.
German Zungenbrecher,A oagnehm grea ogschdriches Gardederle, An ugly green painted garden door. German: Ein unschön grün angestrichenes Gartentürchen.
German Zungenbrecher,"Fragt ein Verkäufer seine Frau: - ""Hemmr Hemmr?"" - ""Hemmr hemmr koine meh!"""," Do we have hammers? We don't have hammers any more! German: ""Haben wir [noch] Hämmer?"" ""Nein, Hämmer haben wir keine mehr!"
German Zungenbrecher,Henter Hecka Hansa Haus hau i hondert herige Hasa heara huaschta., Behind Hans' haouse bei the hedge I heard one hundred this year's hares coughing. German: Hinter Hans' Haus bei der Hecke hab' ich hundert diesjährige Hasen husten hören!
German Zungenbrecher,Was den'd die denn do in denne Dännele dinne?, What are they doing there in that wood?
German Zungenbrecher,I han z'spät s'Bsteck b'stellt, I ordered the cutlery too late. German:Ich habe zu spät das Besteck bestellt.
German Zungenbrecher,"Schellet Se ed an sell'rer Schell, selle Schell schellet ed, Schellet Se an sell'rer Schell, selle Schell schellet."," Don't ring this bell, this bell doesn't ring. Ring this bell, this bell rings. German: Läuten Sie nicht an dieser Klingel, diese Klingel läutet nicht, läuten Sie an dieser Klingel, diese Klingel läutet."
German Zungenbrecher,I hao's ao schao gao lao!, I have also almost stopped it! German: Ich habe es auch schon fast gelassen.
German Zungenbrecher,Es leit a Klötzle Blei glei bei Blaubeure. Glei bei Blaubeure leit a Klötzle Blei., A lump of lead lies near by Blaubeueren. Near by Blaubeueren lies a lump of lead.
German Zungenbrecher,"I han amôl oin kennd khedd,
der hôdd oine kennd.
Dui hôdd a Kend khedd,
dees hôdd se abbr edd vo sällam khedd.
Där hot nemmlich nemme kennd khedd,
se hôdd abbr nô an andara kennd khedd.
Där hôdd nô kennd khedd.
Ond wenns se deen nedd khennd hedd,
nô hedd se koi Kend khedd."," Once I knew someone (a boy),
who knew someone (a girl) 
who had had a child, 
which she had not had from him.
Because he was no longer able. 
But she had known another (boy),
who still had beens able! 
And if she had not had known him, 
she would not have had that child."
German Zungenbrecher,"S'war oagnem, wo mai ara a war."," It was unpleasant, when my arm was broken. German: Es war unangenehm, als mein Arm gebrochen war."
German Zungenbrecher,Hän die doo koo Schnur droo?, German: Handy = Haben die da keine Schnur (Kabel) dran?
German Zungenbrecher,"A großa Hitze, saedse, häbse und in d'r Nacht so schwitza miaßtse, saedse, dädse."," She says she's got hot flush and she says she's sweating a lot during the night. German>/EM>: Eine große Hitze, sagt sie, habe sie und in der Nacht so schwitzen müsse sie, sagt sie, würde sie."
German Zungenbrecher,Mos mä do oa oa initoa?, Do we have to add one egg? German: Muss man da ein Ei reintun?
German Zungenbrecher,Hät kon kon Kamm oder a meggele sopfe?, Has anybody got a comb or a piece of soap? German: Hat keiner keinen Kamm oder ein Stück Seife?
German Zungenbrecher,Strätzt's z'Züri?, Is it raining heavily in Zürich? German: Strätzen = heftig regnen. z'Züri = in (zu) Zürich. Also: Regnet's (stark) in Zürich?
German Zungenbrecher,Z'Schlaate e Zaane voll Saapfe d'Laatere durapp schlaapfe., Pulling a basket full of soap down a ladder in Schleitheim. German: In Schleitheim eine Zeine voll Seife die Leiter hinab schleifen.
German Zungenbrecher,"Musch nit an sellere Schelle schelle, selle Schelle schellt nit, musch an sellere Schelle schelle, selle Schelle schellt."," Don't ring this bell, this bell won't ring. Ring this bell, this bell will ring. German: Du mußt nicht an dieser Glocke läuten, diese Glocke läutet nicht, du mußt an dieser Glocke läutet, diese Glocke läutet."
German Zungenbrecher,Der Papscht het z' Schpiez ds Schpäckbschteck z' schpät bschtellt.," The Pope ordered the cutlery for smoked ham too late in Spiez. German: Der Papst bestellte in Spiez das Speckbesteck zu spät.
"
German Zungenbrecher,Lüschers Lüüti lütet wenn Lüti Lüschers Lüüti lütet., Lueschers doorbell only rings when Lueti rings Lueschers bell. German: Lüschers Hausglocke leutet wenn Lüti Lüschers Glocke leutet.
German Zungenbrecher,"Uf de Rapperswiler Brugg schtönd drü dünni, dürri, langi, lääri, hohli Röhrli, und dur die drü dünne dürre, lange, lääre, hohle Röhrli lehred d'Lüüt rächt rede."," On the bridge of Rapperswil there are three thin, dry, long, empty, hollow tubes, and through these three thin, dry, long, empty, hollow tubes people lern to speak properly. German: Auf der Rapperswiler Brücke (am Züricher See) stehen drei dünne, dürre, lange, leere, hohle Röhrchen, und durch diese drei dünnen, dürren, langen, leeren, hohlen Röhren lernen die Leute richtig sprechen."
German Zungenbrecher,1. Version," Two mothers taking about a child: Is she allowed to do that! She is allowed to do that! That she is allowed to do that ... German: Zwei Frauen reden über ein Kind: - ""Darf sie das?"" - ""Sie darf das."" - ""Das sie dies darf!"
German Zungenbrecher,Chuchichäschtli," kitchen cupboard, GermanKüchenkästchen"
German Zungenbrecher,Chäschueche im Chuchichaschte," Cheese cake in the kitchen cupboard, GermanKäsekuchen im Küchenkasten"
German Zungenbrecher,Möuchmäuchterli," Milk bucket (made of wood), German: Milchkessel (aus Holz)."
